ref_area,measure,year,value
BGR,PR_INC_DISP,2012,15.4006
BGR,PR_INC_DISP,2011,16.1792
AUS,PR_INC_DISP,2014,12.8
ROU,PR_INC_DISP,2015,19.3497
DEU,PR_INC_MRKT,2017,32.81
FRA,PR_INC_DISP,2022,8.3
AUT,PR_INC_DISP,2012,9.5969
AUT,PR_INC_DISP,2011,9.1322
AUT,PR_INC_DISP,2010,8.8743
AUT,PR_INC_MRKT,2022,31.392
AUT,PR_INC_MRKT,2021,32.7366
AUS,PR_INC_MRKT,2016,25.2
AUS,PR_INC_MRKT,2014,26.4
HRV,PR_INC_MRKT,2018,29.1917
USA,PR_INC_DISP,2014,17.4673
USA,PR_INC_DISP,2013,17.2112
BEL,PR_INC_DISP,2023,6.2931
BEL,PR_INC_DISP,2022,6.9124
BEL,PR_INC_DISP,2021,7.7722
AUT,PR_INC_MRKT,2018,30.4144
AUT,PR_INC_MRKT,2017,31.2381
AUT,PR_INC_MRKT,2016,32.1615
AUT,PR_INC_MRKT,2015,31.2079
AUT,PR_INC_MRKT,2014,32.0566
AUT,PR_INC_MRKT,2013,31.6315
AUT,PR_INC_MRKT,2012,31.9865
AUT,PR_INC_MRKT,2011,31.8431
AUT,PR_INC_MRKT,2010,32.4737
AUT,PR_INC_MRKT,2020,32.5074
AUT,PR_INC_DISP,2023,9.3074
AUT,PR_INC_DISP,2022,9.5532
AUT,PR_INC_DISP,2021,9.8273
AUT,PR_INC_DISP,2019,9.9865
AUT,PR_INC_DISP,2018,9.4128
AUT,PR_INC_DISP,2017,9.4318
AUT,PR_INC_DISP,2016,9.7758
ROU,PR_INC_DISP,2014,18.722
ROU,PR_INC_DISP,2013,18.2399
AUT,PR_INC_DISP,2013,9.016
AUT,PR_INC_MRKT,2023,31.355
CRI,PR_INC_DISP,2023,21.1607
CRI,PR_INC_DISP,2022,20.9931
CRI,PR_INC_DISP,2010,20.0047
CRI,PR_INC_MRKT,2024,29.8636
CHL,PR_INC_MRKT,2015,18.0
CHL,PR_INC_MRKT,2013,18.5
CHL,PR_INC_MRKT,2011,19.2
CHL,PR_INC_MRKT,2022,23.5811
CHL,PR_INC_MRKT,2020,26.7533
CHL,PR_INC_DISP,2022,16.2895
CHL,PR_INC_DISP,2020,18.5815
CHL,PR_INC_DISP,2017,16.5
CHL,PR_INC_DISP,2015,16.1
CHL,PR_INC_DISP,2013,16.8
CHL,PR_INC_DISP,2011,18.4
CAN,PR_INC_MRKT,2019,24.1549
CAN,PR_INC_MRKT,2018,24.5119
CAN,PR_INC_MRKT,2017,25.1735
CAN,PR_INC_MRKT,2016,24.4019
CAN,PR_INC_MRKT,2015,25.2245
CAN,PR_INC_MRKT,2014,23.9514
CAN,PR_INC_MRKT,2013,25.8896
CAN,PR_INC_MRKT,2012,25.5805
CAN,PR_INC_MRKT,2011,25.1691
CAN,PR_INC_MRKT,2010,26.2783
CAN,PR_INC_DISP,2018,11.8006
CAN,PR_INC_DISP,2017,12.0037
CAN,PR_INC_DISP,2016,12.388
CAN,PR_INC_DISP,2015,14.1368
CAN,PR_INC_DISP,2014,12.5953
CAN,PR_INC_DISP,2013,13.2174
CAN,PR_INC_DISP,2012,13.2986
CAN,PR_INC_DISP,2011,13.0716
CAN,PR_INC_DISP,2010,13.1441
CAN,PR_INC_DISP,2022,11.9
CAN,PR_INC_MRKT,2022,24.4
CAN,PR_INC_DISP,2023,12.2
CAN,PR_INC_DISP,2021,10.523
CAN,PR_INC_DISP,2020,8.6388
CAN,PR_INC_DISP,2019,11.53
CAN,PR_INC_MRKT,2023,24.6
CAN,PR_INC_MRKT,2021,25.1757
HRV,PR_INC_MRKT,2017,30.7716
AUS,PR_INC_DISP,2016,12.1
AUS,PR_INC_MRKT,2012,26.3
AUS,PR_INC_DISP,2020,12.6
AUS,PR_INC_DISP,2018,12.4
BEL,PR_INC_DISP,2020,7.3339
BEL,PR_INC_DISP,2019,8.0667
BEL,PR_INC_DISP,2018,8.164
FIN,PR_INC_DISP,2022,6.6551
FIN,PR_INC_DISP,2021,6.6618
FIN,PR_INC_DISP,2019,6.389
FIN,PR_INC_MRKT,2020,34.7
FIN,PR_INC_MRKT,2012,32.3
EST,PR_INC_MRKT,2016,29.8023
EST,PR_INC_MRKT,2015,30.4319
EST,PR_INC_MRKT,2014,30.8557
EST,PR_INC_MRKT,2013,32.9975
EST,PR_INC_DISP,2016,15.7957
EST,PR_INC_DISP,2015,16.0333
EST,PR_INC_DISP,2014,15.7157
EST,PR_INC_DISP,2013,15.8113
EST,PR_INC_DISP,2023,14.3827
EST,PR_INC_DISP,2022,16.1673
EST,PR_INC_DISP,2021,16.4598
EST,PR_INC_MRKT,2023,30.7873
EST,PR_INC_MRKT,2022,29.8215
EST,PR_INC_MRKT,2021,30.1968
EST,PR_INC_MRKT,2020,30.7779
EST,PR_INC_DISP,2020,15.8473
EST,PR_INC_DISP,2019,14.9299
EST,PR_INC_DISP,2018,16.2713
EST,PR_INC_DISP,2017,15.8303
EST,PR_INC_MRKT,2019,30.574
EST,PR_INC_MRKT,2018,31.5181
DNK,PR_INC_MRKT,2016,24.57
DNK,PR_INC_MRKT,2015,24.88
DNK,PR_INC_MRKT,2014,24.97
DNK,PR_INC_MRKT,2013,24.87
DNK,PR_INC_MRKT,2012,24.66
DNK,PR_INC_MRKT,2011,24.31
DNK,PR_INC_DISP,2018,6.36
DNK,PR_INC_DISP,2017,6.14
DNK,PR_INC_DISP,2016,5.76
DNK,PR_INC_DISP,2015,5.49
DNK,PR_INC_DISP,2014,5.45
DNK,PR_INC_DISP,2013,5.36
DNK,PR_INC_DISP,2012,5.39
DNK,PR_INC_DISP,2011,5.8
DNK,PR_INC_MRKT,2018,23.9
DNK,PR_INC_MRKT,2017,24.2
DNK,PR_INC_MRKT,2022,22.23
DNK,PR_INC_DISP,2022,6.31
DNK,PR_INC_DISP,2021,6.27
DNK,PR_INC_DISP,2020,6.35
DNK,PR_INC_DISP,2019,6.51
DNK,PR_INC_MRKT,2021,22.87
DNK,PR_INC_MRKT,2020,23.8
CZE,PR_INC_MRKT,2019,25.9319
CZE,PR_INC_MRKT,2018,26.3343
CZE,PR_INC_MRKT,2017,26.5765
CZE,PR_INC_MRKT,2016,27.5819
CZE,PR_INC_MRKT,2015,28.6629
CZE,PR_INC_MRKT,2014,28.7793
CZE,PR_INC_MRKT,2013,28.6884
CZE,PR_INC_MRKT,2012,27.7584
CZE,PR_INC_MRKT,2011,28.8713
CZE,PR_INC_MRKT,2010,27.9912
CZE,PR_INC_DISP,2019,5.5895
CZE,PR_INC_DISP,2018,6.0849
CZE,PR_INC_DISP,2017,5.6096
CZE,PR_INC_DISP,2016,5.593
CZE,PR_INC_DISP,2015,6.3799
CZE,PR_INC_DISP,2014,5.9264
CZE,PR_INC_DISP,2013,5.9019
CZE,PR_INC_DISP,2012,5.1643
CZE,PR_INC_DISP,2011,5.9379
CZE,PR_INC_DISP,2010,6.4716
CZE,PR_INC_MRKT,2023,26.5888
CZE,PR_INC_DISP,2023,5.5172
CZE,PR_INC_DISP,2022,6.1592
CZE,PR_INC_DISP,2021,6.3975
CZE,PR_INC_DISP,2020,5.2886
CZE,PR_INC_MRKT,2022,27.1161
CZE,PR_INC_MRKT,2021,27.5069
CRI,PR_INC_MRKT,2022,29.2213
CRI,PR_INC_MRKT,2021,29.0023
CRI,PR_INC_MRKT,2020,32.9116
CRI,PR_INC_MRKT,2019,27.5066
CRI,PR_INC_MRKT,2018,27.9624
CRI,PR_INC_MRKT,2017,26.9784
CRI,PR_INC_MRKT,2016,27.5145
CRI,PR_INC_MRKT,2015,26.323
CRI,PR_INC_MRKT,2014,26.8065
CRI,PR_INC_MRKT,2013,26.2645
CRI,PR_INC_MRKT,2012,26.2067
AUS,PR_INC_DISP,2012,14.0
AUS,PR_INC_MRKT,2020,24.4
CRI,PR_INC_MRKT,2025,29.9211
CRI,PR_INC_DISP,2021,20.307
CRI,PR_INC_DISP,2020,20.5092
CRI,PR_INC_DISP,2019,19.903
AUT,PR_INC_DISP,2015,8.6702
AUT,PR_INC_DISP,2014,9.1171
AUT,PR_INC_DISP,2020,9.5986
CRI,PR_INC_DISP,2015,20.5626
CRI,PR_INC_DISP,2014,21.5471
CRI,PR_INC_DISP,2013,20.978
CRI,PR_INC_DISP,2012,21.3032
CRI,PR_INC_DISP,2011,20.7216
CRI,PR_INC_DISP,2024,21.0194
CRI,PR_INC_DISP,2025,21.3495
ISL,PR_INC_DISP,2010,6.6375
ISL,PR_INC_MRKT,2019,18.6538
ISL,PR_INC_MRKT,2018,19.914
ISL,PR_INC_MRKT,2017,16.9126
ISL,PR_INC_MRKT,2016,17.5883
ISL,PR_INC_MRKT,2015,19.3774
ISL,PR_INC_DISP,2019,5.6427
ISL,PR_INC_DISP,2018,5.0279
ISL,PR_INC_DISP,2017,4.8592
ISL,PR_INC_DISP,2016,6.0297
ISL,PR_INC_MRKT,2014,19.3732
ISL,PR_INC_MRKT,2013,19.2215
HUN,PR_INC_DISP,2013,8.5762
HUN,PR_INC_DISP,2012,8.5465
HUN,PR_INC_DISP,2011,7.6938
HUN,PR_INC_DISP,2010,7.3356
HUN,PR_INC_DISP,2023,9.699
HUN,PR_INC_MRKT,2017,31.8177
HUN,PR_INC_MRKT,2016,32.2918
HUN,PR_INC_MRKT,2015,34.5138
HUN,PR_INC_MRKT,2014,34.4512
HUN,PR_INC_MRKT,2013,35.6389
HUN,PR_INC_MRKT,2012,36.2445
HUN,PR_INC_DISP,2017,8.0398
HUN,PR_INC_DISP,2016,7.7967
HUN,PR_INC_DISP,2015,8.4746
HUN,PR_INC_DISP,2014,8.7165
HUN,PR_INC_MRKT,2011,37.527
HUN,PR_INC_MRKT,2010,37.058
GRC,PR_INC_MRKT,2011,35.8122
GRC,PR_INC_MRKT,2010,32.804
GRC,PR_INC_MRKT,2023,29.9391
GRC,PR_INC_MRKT,2022,29.2905
GRC,PR_INC_MRKT,2021,28.4925
