ref_area,age,year,value
ROU,Y18T65,2012,0.477291
ROU,Y18T65,2013,0.475913
AUS,_T,2012,0.4632
AUS,Y18T65,2014,0.434
AUS,Y18T65,2016,0.412
AUS,Y18T65,2018,0.417
AUS,Y_GT65,2014,0.707
AUS,Y_GT65,2016,0.701
AUS,Y_GT65,2018,0.658
AUS,Y_GT65,2020,0.613
AUS,_T,2014,0.483
AUS,_T,2016,0.469
AUS,_T,2018,0.454
AUS,_T,2020,0.441
AUS,Y18T65,2012,0.4135
AUS,Y_GT65,2012,0.7047
AUT,Y18T65,2018,0.426682
AUT,Y18T65,2019,0.417986
AUT,Y18T65,2021,0.425883
AUT,Y18T65,2022,0.414993
AUT,Y18T65,2023,0.41479
AUT,Y_GT65,2011,0.827489
AUT,Y_GT65,2012,0.83762
AUT,Y_GT65,2023,0.871196
AUT,Y_GT65,2013,0.842273
AUT,Y_GT65,2014,0.838875
AUT,Y_GT65,2015,0.847858
AUT,Y_GT65,2016,0.831875
AUT,Y_GT65,2017,0.840085
AUT,Y_GT65,2018,0.848419
AUT,Y_GT65,2019,0.832876
AUT,Y_GT65,2021,0.851245
AUT,Y_GT65,2007,0.825603
AUT,Y_GT65,2008,0.83767
AUT,Y_GT65,2009,0.838287
AUT,Y_GT65,2010,0.828313
AUT,_T,2007,0.484792
AUT,_T,2008,0.488513
CAN,_T,2015,0.434
BEL,Y_GT65,2022,0.87973
BEL,Y_GT65,2023,0.86967
BEL,_T,2018,0.489898
BEL,_T,2019,0.488585
BEL,_T,2020,0.490658
BEL,_T,2021,0.482422
BEL,_T,2022,0.481282
BEL,_T,2023,0.485911
BEL,Y18T65,2018,0.417179
BEL,Y18T65,2019,0.411613
BEL,Y18T65,2020,0.413698
BEL,Y_GT65,2018,0.867673
BEL,Y_GT65,2019,0.865952
BEL,Y_GT65,2020,0.864502
BEL,Y_GT65,2021,0.872683
BEL,Y18T65,2021,0.402125
BEL,Y18T65,2022,0.399877
AUT,_T,2010,0.495505
AUT,_T,2011,0.494371
AUT,_T,2012,0.493123
AUT,_T,2013,0.49476
AUT,_T,2014,0.491944
AUT,_T,2020,0.49309
AUT,Y18T65,2020,0.423306
AUT,Y_GT65,2020,0.852811
AUT,Y_GT65,2022,0.869704
AUT,_T,2015,0.49372
AUT,_T,2016,0.49972
AUT,_T,2017,0.485343
AUT,_T,2018,0.493504
AUT,_T,2019,0.48606
AUT,_T,2021,0.493134
AUT,_T,2022,0.490441
AUT,_T,2023,0.491551
AUT,Y18T65,2007,0.422489
AUT,Y18T65,2008,0.425396
AUT,Y18T65,2009,0.437476
AUT,Y18T65,2010,0.430101
AUT,Y18T65,2011,0.427526
AUT,Y18T65,2012,0.425421
AUT,Y18T65,2013,0.42449
AUT,Y18T65,2014,0.41808
AUT,Y18T65,2015,0.421171
AUT,Y18T65,2016,0.428811
AUT,Y18T65,2017,0.419348
CAN,Y_GT65,2019,0.538
CAN,_T,2021,0.436
CAN,Y18T65,2005,0.406
CAN,Y18T65,2006,0.404
CAN,Y18T65,2007,0.406
CAN,Y18T65,2008,0.401
CAN,Y18T65,2009,0.41
CAN,Y18T65,2010,0.411
CAN,Y18T65,2011,0.404
CAN,Y18T65,2012,0.402
CAN,Y18T65,2013,0.404
CAN,Y18T65,2014,0.397
CAN,Y18T65,2015,0.407
CAN,Y18T65,2016,0.4
CAN,Y18T65,2017,0.406
CAN,Y18T65,2018,0.398
CAN,Y18T65,2019,0.387
CAN,Y_GT65,2020,0.541
CAN,Y_GT65,2021,0.537
CAN,_T,1976,0.383
CAN,_T,1977,0.368
CAN,_T,1978,0.374
CAN,_T,1979,0.364
CAN,_T,1980,0.369
CAN,_T,1981,0.368
CAN,_T,1982,0.387
CAN,_T,1983,0.402
CAN,_T,1984,0.401
CAN,_T,1985,0.394
CAN,_T,1986,0.394
CAN,_T,1987,0.392
CAN,_T,1988,0.39
CAN,_T,1989,0.387
CAN,_T,1990,0.402
CAN,_T,1991,0.421
CAN,_T,1992,0.428
CAN,_T,1996,0.437
CAN,_T,1997,0.437
CAN,_T,1998,0.444
CAN,_T,1999,0.436
CAN,_T,2000,0.437
CAN,_T,2001,0.439
CAN,_T,2002,0.438
CAN,_T,2003,0.436
CAN,_T,2004,0.44
CAN,_T,2005,0.433
CAN,_T,2006,0.431
CAN,_T,2007,0.432
CAN,_T,2008,0.429
CAN,_T,2009,0.436
CAN,_T,2010,0.44
CAN,_T,2011,0.432
CAN,_T,2012,0.431
CAN,_T,2013,0.434
CAN,Y18T65,1977,0.339
CAN,Y18T65,1978,0.348
CAN,Y18T65,1979,0.337
CAN,Y18T65,1980,0.344
CAN,Y18T65,1981,0.341
CAN,Y18T65,1982,0.361
CAN,Y18T65,1983,0.374
CAN,Y18T65,1984,0.371
CAN,Y18T65,1985,0.367
CAN,Y18T65,1986,0.363
CAN,Y18T65,1987,0.362
CAN,Y18T65,1988,0.359
CAN,Y18T65,1989,0.355
CAN,Y18T65,1990,0.373
CAN,Y18T65,1991,0.392
CAN,Y18T65,1992,0.402
CAN,Y18T65,1996,0.41
CAN,Y18T65,1997,0.41
CAN,Y18T65,1998,0.42
CAN,Y18T65,1999,0.41
CAN,Y18T65,2000,0.412
CAN,Y18T65,2001,0.415
CAN,Y18T65,2002,0.414
CAN,Y18T65,2003,0.41
CAN,Y18T65,2004,0.414
CAN,Y18T65,1995,0.400888
CAN,Y18T65,2023,0.398
CAN,Y_GT65,1993,0.594573
CAN,Y_GT65,1994,0.609134
CAN,Y_GT65,1995,0.603429
CAN,Y_GT65,2023,0.543
CAN,_T,1993,0.428533
CAN,_T,1994,0.430707
CAN,_T,1995,0.428678
CAN,_T,2023,0.433
CAN,Y18T65,1976,0.356
CAN,_T,2018,0.428
CAN,_T,2019,0.42
CAN,Y18T65,1993,0.399938
CAN,Y18T65,1994,0.402032
CAN,_T,2014,0.425
CRI,_T,2014,0.52234
CRI,_T,2015,0.522527
CRI,_T,2016,0.532956
CRI,_T,2017,0.529952
CRI,_T,2018,0.530998
CRI,_T,2019,0.532481
CRI,_T,2020,0.575592
CRI,_T,2021,0.550906
CRI,_T,2022,0.533821
CRI,_T,2023,0.534828
CRI,Y_GT65,2025,0.671678
CRI,_T,2025,0.521842
CRI,Y18T65,2025,0.487723
CRI,Y_GT65,2010,0.653017
CRI,Y_GT65,2011,0.672718
CRI,Y_GT65,2012,0.705812
CRI,Y_GT65,2013,0.662444
CRI,Y_GT65,2014,0.664201
