income_year,series,value
2025,market_total,20.8332
2025,disposable_total,13.1024
2025,market_child,17.96
2025,disposable_child,13.3539
2024,market_total,20.8817
2024,disposable_total,12.9098
2024,market_child,18.9491
2024,disposable_child,13.2749
2023,market_total,20.4996
2023,disposable_total,12.906
2023,market_child,18.8941
2023,disposable_child,13.6826
2022,market_total,20.8036
2022,disposable_total,12.3261
2022,market_child,17.9182
2022,disposable_child,12.1574
2021,market_total,20.6361
2021,disposable_total,7.7763
2021,market_child,18.6985
2021,disposable_child,5.1938
