quarter,series,value
1989:Q3,top1,22.8
1989:Q3,top10,60.8
1989:Q3,bottom50,3.5
1989:Q4,top1,23.0
1989:Q4,top10,60.9
1989:Q4,bottom50,3.4
1990:Q1,top1,22.8
1990:Q1,top10,60.5
1990:Q1,bottom50,3.5
1990:Q2,top1,22.9
1990:Q2,top10,60.5
1990:Q2,bottom50,3.4
1990:Q3,top1,22.4
1990:Q3,top10,59.8
1990:Q3,bottom50,3.5
1990:Q4,top1,22.9
1990:Q4,top10,60.1
1990:Q4,bottom50,3.6
1991:Q1,top1,23.2
1991:Q1,top10,60.3
1991:Q1,bottom50,3.5
1991:Q2,top1,23.1
1991:Q2,top10,60.1
1991:Q2,bottom50,3.5
1991:Q3,top1,23.1
1991:Q3,top10,59.8
1991:Q3,bottom50,3.7
1991:Q4,top1,23.6
1991:Q4,top10,60.1
1991:Q4,bottom50,3.7
1992:Q1,top1,23.4
1992:Q1,top10,59.7
1992:Q1,bottom50,3.8
1992:Q2,top1,23.2
1992:Q2,top10,59.6
1992:Q2,bottom50,3.9
1992:Q3,top1,23.0
1992:Q3,top10,59.3
1992:Q3,bottom50,4.1
1992:Q4,top1,23.5
1992:Q4,top10,59.7
1992:Q4,bottom50,4.0
1993:Q1,top1,24.0
1993:Q1,top10,60.2
1993:Q1,bottom50,3.8
1993:Q2,top1,24.2
1993:Q2,top10,60.2
1993:Q2,bottom50,3.8
1993:Q3,top1,24.5
1993:Q3,top10,60.2
1993:Q3,bottom50,3.8
1993:Q4,top1,25.0
1993:Q4,top10,60.5
1993:Q4,bottom50,3.7
1994:Q1,top1,25.2
1994:Q1,top10,60.6
1994:Q1,bottom50,3.5
1994:Q2,top1,25.4
1994:Q2,top10,60.6
1994:Q2,bottom50,3.4
1994:Q3,top1,25.6
1994:Q3,top10,60.6
1994:Q3,bottom50,3.5
1994:Q4,top1,26.0
1994:Q4,top10,60.8
1994:Q4,bottom50,3.5
1995:Q1,top1,26.4
1995:Q1,top10,61.1
1995:Q1,bottom50,3.5
1995:Q2,top1,26.7
1995:Q2,top10,60.9
1995:Q2,bottom50,3.6
1995:Q3,top1,27.3
1995:Q3,top10,61.2
1995:Q3,bottom50,3.7
1995:Q4,top1,27.4
1995:Q4,top10,61.4
1995:Q4,bottom50,3.6
1996:Q1,top1,27.4
1996:Q1,top10,61.6
1996:Q1,bottom50,3.5
1996:Q2,top1,27.3
1996:Q2,top10,61.5
1996:Q2,bottom50,3.4
1996:Q3,top1,27.1
1996:Q3,top10,61.4
1996:Q3,bottom50,3.5
1996:Q4,top1,27.1
1996:Q4,top10,61.6
1996:Q4,bottom50,3.4
1997:Q1,top1,26.9
1997:Q1,top10,61.6
1997:Q1,bottom50,3.4
1997:Q2,top1,27.1
1997:Q2,top10,61.9
1997:Q2,bottom50,3.4
1997:Q3,top1,27.3
1997:Q3,top10,62.2
1997:Q3,bottom50,3.4
1997:Q4,top1,27.4
1997:Q4,top10,62.4
1997:Q4,bottom50,3.3
1998:Q1,top1,27.8
1998:Q1,top10,62.9
1998:Q1,bottom50,3.3
1998:Q2,top1,27.8
1998:Q2,top10,63.0
1998:Q2,bottom50,3.2
1998:Q3,top1,27.1
1998:Q3,top10,62.2
1998:Q3,bottom50,3.5
1998:Q4,top1,27.7
1998:Q4,top10,63.2
1998:Q4,bottom50,3.2
1999:Q1,top1,27.4
1999:Q1,top10,63.0
1999:Q1,bottom50,3.3
1999:Q2,top1,27.5
1999:Q2,top10,63.2
1999:Q2,bottom50,3.2
1999:Q3,top1,27.3
1999:Q3,top10,63.0
1999:Q3,bottom50,3.2
1999:Q4,top1,27.9
1999:Q4,top10,63.8
1999:Q4,bottom50,3.2
2000:Q1,top1,27.9
2000:Q1,top10,63.8
2000:Q1,bottom50,3.2
2000:Q2,top1,27.4
2000:Q2,top10,63.3
2000:Q2,bottom50,3.2
2000:Q3,top1,27.3
2000:Q3,top10,63.2
2000:Q3,bottom50,3.2
2000:Q4,top1,26.7
2000:Q4,top10,62.6
2000:Q4,bottom50,3.2
2001:Q1,top1,26.0
2001:Q1,top10,61.7
2001:Q1,bottom50,3.2
2001:Q2,top1,26.1
2001:Q2,top10,62.0
2001:Q2,bottom50,3.1
2001:Q3,top1,25.5
2001:Q3,top10,61.2
2001:Q3,bottom50,3.1
2001:Q4,top1,25.7
2001:Q4,top10,61.7
2001:Q4,bottom50,2.9
2002:Q1,top1,25.6
2002:Q1,top10,61.7
2002:Q1,bottom50,2.9
2002:Q2,top1,25.4
2002:Q2,top10,61.6
2002:Q2,bottom50,2.9
2002:Q3,top1,24.7
2002:Q3,top10,60.9
2002:Q3,bottom50,3.0
2002:Q4,top1,24.8
2002:Q4,top10,61.0
2002:Q4,bottom50,2.9
2003:Q1,top1,24.7
2003:Q1,top10,61.0
2003:Q1,bottom50,2.8
2003:Q2,top1,25.3
2003:Q2,top10,61.8
2003:Q2,bottom50,2.6
2003:Q3,top1,25.5
2003:Q3,top10,62.1
2003:Q3,bottom50,2.7
2003:Q4,top1,25.9
2003:Q4,top10,62.6
2003:Q4,bottom50,2.6
2004:Q1,top1,26.6
2004:Q1,top10,63.1
2004:Q1,bottom50,2.5
2004:Q2,top1,26.5
2004:Q2,top10,63.0
2004:Q2,bottom50,2.6
2004:Q3,top1,26.8
2004:Q3,top10,63.4
2004:Q3,bottom50,2.5
2004:Q4,top1,27.1
2004:Q4,top10,63.7
2004:Q4,bottom50,2.5
2005:Q1,top1,27.0
2005:Q1,top10,63.7
2005:Q1,bottom50,2.5
2005:Q2,top1,27.2
2005:Q2,top10,64.1
2005:Q2,bottom50,2.4
2005:Q3,top1,27.2
2005:Q3,top10,64.2
2005:Q3,bottom50,2.5
2005:Q4,top1,27.2
2005:Q4,top10,64.2
2005:Q4,bottom50,2.5
2006:Q1,top1,27.9
2006:Q1,top10,65.1
2006:Q1,bottom50,2.4
2006:Q2,top1,27.7
2006:Q2,top10,65.0
2006:Q2,bottom50,2.4
2006:Q3,top1,27.8
2006:Q3,top10,65.2
2006:Q3,bottom50,2.4
2006:Q4,top1,28.2
2006:Q4,top10,65.7
2006:Q4,bottom50,2.3
2007:Q1,top1,28.5
2007:Q1,top10,66.2
2007:Q1,bottom50,2.2
2007:Q2,top1,28.7
2007:Q2,top10,66.5
2007:Q2,bottom50,2.1
2007:Q3,top1,29.0
2007:Q3,top10,67.0
2007:Q3,bottom50,2.0
2007:Q4,top1,29.0
2007:Q4,top10,67.1
2007:Q4,bottom50,1.7
2008:Q1,top1,28.9
2008:Q1,top10,67.1
2008:Q1,bottom50,1.5
2008:Q2,top1,28.8
2008:Q2,top10,67.1
