chart,series,x,value
wealth-decile-shares-2022,share,D1,-0.2873
wealth-decile-shares-2022,share,D2,0.0614
wealth-decile-shares-2022,share,D3,0.2695
wealth-decile-shares-2022,share,D4,0.7478
wealth-decile-shares-2022,share,D5,1.4026
wealth-decile-shares-2022,share,D6,2.3606
wealth-decile-shares-2022,share,D7,3.762
wealth-decile-shares-2022,share,D8,6.3192
wealth-decile-shares-2022,share,D9,11.9955
wealth-decile-shares-2022,share,D10,73.3686
wealth-deciles-race-white-2022,share,D1,-0.192
wealth-deciles-race-white-2022,share,D2,0.1117
wealth-deciles-race-white-2022,share,D3,0.4368
wealth-deciles-race-white-2022,share,D4,0.9253
wealth-deciles-race-white-2022,share,D5,1.6033
wealth-deciles-race-white-2022,share,D6,2.577
wealth-deciles-race-white-2022,share,D7,3.9157
wealth-deciles-race-white-2022,share,D8,6.5675
wealth-deciles-race-white-2022,share,D9,12.3166
wealth-deciles-race-white-2022,share,D10,71.738
wealth-deciles-race-black-2022,share,D1,-3.2381
wealth-deciles-race-black-2022,share,D2,-0.152
wealth-deciles-race-black-2022,share,D3,0.1081
wealth-deciles-race-black-2022,share,D4,0.4989
wealth-deciles-race-black-2022,share,D5,1.3666
wealth-deciles-race-black-2022,share,D6,3.6149
wealth-deciles-race-black-2022,share,D7,6.2777
wealth-deciles-race-black-2022,share,D8,10.4857
wealth-deciles-race-black-2022,share,D9,18.3383
wealth-deciles-race-black-2022,share,D10,62.7
wealth-deciles-race-latino-2022,share,D1,-0.629
wealth-deciles-race-latino-2022,share,D2,0.0579
wealth-deciles-race-latino-2022,share,D3,0.3306
wealth-deciles-race-latino-2022,share,D4,0.713
wealth-deciles-race-latino-2022,share,D5,1.5516
wealth-deciles-race-latino-2022,share,D6,3.56
wealth-deciles-race-latino-2022,share,D7,6.5015
wealth-deciles-race-latino-2022,share,D8,10.1187
wealth-deciles-race-latino-2022,share,D9,17.2878
wealth-deciles-race-latino-2022,share,D10,60.508
wealth-deciles-race-other-2022,share,D1,-0.1952
wealth-deciles-race-other-2022,share,D2,0.1162
wealth-deciles-race-other-2022,share,D3,0.3957
