county,status,county_seat,gis_portal_url,gis_parcels_service_url,zoning_ordinance_url,city_code_url,assessor_url,needs_review
Aitkin,needs_review,Aitkin,,https://services.arcgis.com/8df8p0NlLFEShl0r/arcgis/rest/services/8501_Parcels_Merged_Classified/FeatureServer,,https://www.ci.aitkin.mn.us/ordinances,,county assessor / property-tax URL not yet found; county zoning ordinance URL not yet found; no verified ArcGIS Hub GIS portal
Becker,needs_review,Detroit Lakes,,,,https://detroitlakesmn.govoffice3.com/vertical/Sites/%7BF991A069-E23D-412C-8132-49318B273050%7D/uploads/Code_Book_Updated_2026-04-10.pdf,,county assessor / property-tax URL not yet found; county zoning ordinance URL not yet found; no verified ArcGIS Hub GIS portal
Beltrami,needs_review,Bemidji,https://gishub-beltramicounty.hub.arcgis.com/,,https://www.beltramicountymn.gov/business-development/ordinances/,https://library.municode.com/mn/bemidji/codes/code_of_ordinances,,county assessor / property-tax URL not yet found; previously recorded gis_parcels_service_url failed re-verify: https://arcgis.co.beltrami.mn.us/arcgis/rest/services/BeltramiData/BeltramiOpenData/MapServer/2
Big Stone,needs_review,Ortonville,,,https://bigstonecounty.gov/departments/environmental/planning-zoning/,https://mnortonville.com/government/ordinances-city-code/,,county assessor / property-tax URL not yet found; no verified ArcGIS Hub GIS portal
Brown,needs_review,New Ulm,,https://gis.co.brown.mn.us/server/rest/services/BrownCountyMaster/Parcel_Tax_Vendor/FeatureServer,https://browncountymn.gov/228/Planning-Zoning,https://www.newulmmn.gov/258/City-Code---Planning-Zoning-Charter,,county assessor / property-tax URL not yet found; no verified ArcGIS Hub GIS portal
Cass,needs_review,Walker,,,https://www.casscountymn.gov/1263/Land-Use-Regulation-Zoning,https://library.municode.com/mn/walker/codes/code_of_ordinances,,county assessor / property-tax URL not yet found; no verified ArcGIS Hub GIS portal
Chippewa,needs_review,Montevideo,,,https://www.chippewacountymn.gov/177/Zoning-Ordinance,,,city code URL not yet found; county assessor / property-tax URL not yet found; no verified ArcGIS Hub GIS portal
Clearwater,needs_review,Bagley,,,https://www.clearwatercounty.org/departments/building_plan/index.php,https://www.bagleymn.us/ordinance,,county assessor / property-tax URL not yet found; no verified ArcGIS Hub GIS portal
Cook,needs_review,Grand Marais,,,https://cookcountymn.gov/government/ordinances.php,https://www.ci.grand-marais.mn.us/ordinances,,county assessor / property-tax URL not yet found; no verified ArcGIS Hub GIS portal
Cottonwood,needs_review,Windom,,,https://www.cottonwoodcountymn.gov/departments/services/environmental_office/planning_and_zoning/index.php,https://www.windommn.gov/government/code_of_ordinances.php,,county assessor / property-tax URL not yet found; no verified ArcGIS Hub GIS portal
Crow Wing,needs_review,Brainerd,,,https://www.crowwing.gov/214/Ordinance-Policy,https://www.ci.brainerd.mn.us/153/City-Code,,county assessor / property-tax URL not yet found; no verified ArcGIS Hub GIS portal
Douglas,needs_review,Alexandria,,,https://www.douglascountymn.gov/land-use-zoning,https://alexandriamn.city/alexandria-city-code/,,county assessor / property-tax URL not yet found; no verified ArcGIS Hub GIS portal
Faribault,needs_review,Blue Earth,https://faribault-county-hub-FCSWCD.hub.arcgis.com,,https://www.faribaultcountymn.gov/1298/Zoning-Ordinances,https://becity.org/index.php/government/city-code,,county assessor / property-tax URL not yet found
Freeborn,needs_review,Albert Lea,,,https://www.freeborncountymn.gov/180/Ordinances,https://www.cityofalbertlea.org/city-code/,,county assessor / property-tax URL not yet found; no verified ArcGIS Hub GIS portal
Goodhue,needs_review,Red Wing,,https://services8.arcgis.com/81iGvYZfKpMfrgYJ/arcgis/rest/services/Soft_Parcels_City_of_RedWing_WFL1/FeatureServer,https://goodhuecountymn.gov/land_use_management/planning_zoning/,https://redwingmn.gov/227/City-Charter-and-Code,,county assessor / property-tax URL not yet found; no verified ArcGIS Hub GIS portal
Grant,needs_review,Elbow Lake,,,https://www.grantcountymn.gov/355/Ordinances,https://www.thecityofelbowlake.com/city-ordinances/,,county assessor / property-tax URL not yet found; no verified ArcGIS Hub GIS portal
Hubbard,needs_review,Park Rapids,,,https://www.hubbardcounty.gov/environmental_services,,,city code URL not yet found; county assessor / property-tax URL not yet found; no verified ArcGIS Hub GIS portal
Itasca,needs_review,Grand Rapids,,,https://itascacountymn.gov/235/Land-Management-Planning,https://library.municode.com/mn/grand_rapids/codes/code_of_ordinances,,county assessor / property-tax URL not yet found; no verified ArcGIS Hub GIS portal
Jackson,needs_review,Jackson,,,https://jacksoncountymn.gov/ordinances,,,city code URL not yet found; county assessor / property-tax URL not yet found; no verified ArcGIS Hub GIS portal
Kanabec,needs_review,Mora,,,https://www.kanabeccounty.org/community/zoning.php,,,city code URL not yet found; county assessor / property-tax URL not yet found; no verified ArcGIS Hub GIS portal
Kandiyohi,needs_review,Willmar,,,https://www.kcmn.us/departments/environmental_services/,https://library.municode.com/mn/willmar/codes/code_of_ordinances,,county assessor / property-tax URL not yet found; no verified ArcGIS Hub GIS portal
Kittson,needs_review,Hallock,,,https://www.co.kittson.mn.us/government/departments/zoning.php,https://library.municode.com/mn/hallock/codes/code_of_ordinances,,county assessor / property-tax URL not yet found; no verified ArcGIS Hub GIS portal
Koochiching,needs_review,International Falls,,https://services.arcgis.com/n4v88Dv33V9Mhi0b/arcgis/rest/services/Public_Access_Layers/FeatureServer,https://www.koochiching.gov/393/Planning-and-Zoning-Applications,https://library.municode.com/mn/international_falls/codes/code_of_ordinances,,county assessor / property-tax URL not yet found; no verified ArcGIS Hub GIS portal
Lac qui Parle,needs_review,Madison,,,https://www.lqpcomn.gov/236/Planning-Zoning,,,city code URL not yet found; county assessor / property-tax URL not yet found; no verified ArcGIS Hub GIS portal
