state_abbr,state_name,state_fips,county_fips,geoid,county_name,class_fp
AL,Alabama,01,001,01001,Autauga County,H1
AL,Alabama,01,003,01003,Baldwin County,H1
AL,Alabama,01,005,01005,Barbour County,H1
AL,Alabama,01,007,01007,Bibb County,H1
AL,Alabama,01,009,01009,Blount County,H1
AL,Alabama,01,011,01011,Bullock County,H1
AL,Alabama,01,013,01013,Butler County,H1
AL,Alabama,01,015,01015,Calhoun County,H1
AL,Alabama,01,017,01017,Chambers County,H1
AL,Alabama,01,019,01019,Cherokee County,H1
AL,Alabama,01,021,01021,Chilton County,H1
AL,Alabama,01,023,01023,Choctaw County,H1
AL,Alabama,01,025,01025,Clarke County,H1
AL,Alabama,01,027,01027,Clay County,H1
AL,Alabama,01,029,01029,Cleburne County,H1
AL,Alabama,01,031,01031,Coffee County,H1
AL,Alabama,01,033,01033,Colbert County,H1
AL,Alabama,01,035,01035,Conecuh County,H1
AL,Alabama,01,037,01037,Coosa County,H1
AL,Alabama,01,039,01039,Covington County,H1
AL,Alabama,01,041,01041,Crenshaw County,H1
AL,Alabama,01,043,01043,Cullman County,H1
AL,Alabama,01,045,01045,Dale County,H1
AL,Alabama,01,047,01047,Dallas County,H1
AL,Alabama,01,049,01049,DeKalb County,H1
AL,Alabama,01,051,01051,Elmore County,H1
AL,Alabama,01,053,01053,Escambia County,H1
AL,Alabama,01,055,01055,Etowah County,H1
AL,Alabama,01,057,01057,Fayette County,H1
AL,Alabama,01,059,01059,Franklin County,H1
AL,Alabama,01,061,01061,Geneva County,H1
AL,Alabama,01,063,01063,Greene County,H1
AL,Alabama,01,065,01065,Hale County,H1
AL,Alabama,01,067,01067,Henry County,H1
AL,Alabama,01,069,01069,Houston County,H1
AL,Alabama,01,071,01071,Jackson County,H1
AL,Alabama,01,073,01073,Jefferson County,H1
AL,Alabama,01,075,01075,Lamar County,H1
AL,Alabama,01,077,01077,Lauderdale County,H1
AL,Alabama,01,079,01079,Lawrence County,H1
AL,Alabama,01,081,01081,Lee County,H1
AL,Alabama,01,083,01083,Limestone County,H1
AL,Alabama,01,085,01085,Lowndes County,H1
AL,Alabama,01,087,01087,Macon County,H1
AL,Alabama,01,089,01089,Madison County,H1
AL,Alabama,01,091,01091,Marengo County,H1
AL,Alabama,01,093,01093,Marion County,H1
AL,Alabama,01,095,01095,Marshall County,H1
AL,Alabama,01,097,01097,Mobile County,H1
AL,Alabama,01,099,01099,Monroe County,H1
AL,Alabama,01,101,01101,Montgomery County,H1
AL,Alabama,01,103,01103,Morgan County,H1
AL,Alabama,01,105,01105,Perry County,H1
AL,Alabama,01,107,01107,Pickens County,H1
AL,Alabama,01,109,01109,Pike County,H1
AL,Alabama,01,111,01111,Randolph County,H1
AL,Alabama,01,113,01113,Russell County,H1
AL,Alabama,01,115,01115,St. Clair County,H1
AL,Alabama,01,117,01117,Shelby County,H1
AL,Alabama,01,119,01119,Sumter County,H1
AL,Alabama,01,121,01121,Talladega County,H1
AL,Alabama,01,123,01123,Tallapoosa County,H1
AL,Alabama,01,125,01125,Tuscaloosa County,H1
AL,Alabama,01,127,01127,Walker County,H1
AL,Alabama,01,129,01129,Washington County,H1
AL,Alabama,01,131,01131,Wilcox County,H1
AL,Alabama,01,133,01133,Winston County,H1
AK,Alaska,02,013,02013,Aleutians East Borough,H1
AK,Alaska,02,016,02016,Aleutians West Census Area,H5
AK,Alaska,02,020,02020,Anchorage Municipality,H6
AK,Alaska,02,050,02050,Bethel Census Area,H5
AK,Alaska,02,060,02060,Bristol Bay Borough,H1
AK,Alaska,02,068,02068,Denali Borough,H1
AK,Alaska,02,070,02070,Dillingham Census Area,H5
AK,Alaska,02,090,02090,Fairbanks North Star Borough,H1
AK,Alaska,02,100,02100,Haines Borough,H1
AK,Alaska,02,105,02105,Hoonah-Angoon Census Area,H5
AK,Alaska,02,110,02110,Juneau City and Borough,H6
AK,Alaska,02,122,02122,Kenai Peninsula Borough,H1
AK,Alaska,02,130,02130,Ketchikan Gateway Borough,H1
AK,Alaska,02,150,02150,Kodiak Island Borough,H1
AK,Alaska,02,164,02164,Lake and Peninsula Borough,H1
AK,Alaska,02,170,02170,Matanuska-Susitna Borough,H1
AK,Alaska,02,180,02180,Nome Census Area,H5
AK,Alaska,02,185,02185,North Slope Borough,H1
AK,Alaska,02,188,02188,Northwest Arctic Borough,H1
AK,Alaska,02,195,02195,Petersburg Census Area,H5
AK,Alaska,02,198,02198,Prince of Wales-Hyder Census Area,H5
AK,Alaska,02,220,02220,Sitka City and Borough,H6
AK,Alaska,02,230,02230,Skagway Municipality,H1
AK,Alaska,02,240,02240,Southeast Fairbanks Census Area,H5
AK,Alaska,02,261,02261,Valdez-Cordova Census Area,H5
AK,Alaska,02,270,02270,Wade Hampton Census Area,H5
AK,Alaska,02,275,02275,Wrangell City and Borough,H1
AK,Alaska,02,282,02282,Yakutat City and Borough,H1
AK,Alaska,02,290,02290,Yukon-Koyukuk Census Area,H5
AZ,Arizona,04,001,04001,Apache County,H1
AZ,Arizona,04,003,04003,Cochise County,H1
AZ,Arizona,04,005,04005,Coconino County,H1
AZ,Arizona,04,007,04007,Gila County,H1
AZ,Arizona,04,009,04009,Graham County,H1
AZ,Arizona,04,011,04011,Greenlee County,H1
AZ,Arizona,04,012,04012,La Paz County,H1
AZ,Arizona,04,013,04013,Maricopa County,H1
AZ,Arizona,04,015,04015,Mohave County,H1
AZ,Arizona,04,017,04017,Navajo County,H1
AZ,Arizona,04,019,04019,Pima County,H1
AZ,Arizona,04,021,04021,Pinal County,H1
AZ,Arizona,04,023,04023,Santa Cruz County,H1
AZ,Arizona,04,025,04025,Yavapai County,H1
AZ,Arizona,04,027,04027,Yuma County,H1
AR,Arkansas,05,001,05001,Arkansas County,H1
